Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Dele Alli,Midfielder,25,0.0,34.0,47%,0.0,7.0,17.0,14.0,8.0,0.0,103.0,115.0,150.0,29.0,19.0,40.0,4,810,32.4,6.0,7.0,0%,4.0,17.0,2,0,12,8,0.0,6.0,2.0,0.0,0.32,1.0,42.0,19.0,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Hamstring injury,"Aug 4,2019","Aug 31,2019"
Dele Alli,Midfielder,25,0.0,34.0,47%,0.0,7.0,17.0,14.0,8.0,0.0,103.0,115.0,150.0,29.0,19.0,40.0,4,810,32.4,6.0,7.0,0%,4.0,17.0,2,0,12,8,0.0,6.0,2.0,0.0,0.32,1.0,42.0,19.0,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Muscle injury,"Jul 3,2020","Jul 25,2020"
Miguel Almirón,Midfielder,36,0.0,60.0,65%,0.0,19.0,31.0,16.0,7.0,0.0,189.0,174.0,170.0,46.0,10.0,28.0,2,829,23.03,3.0,41.0,17%,2.0,20.0,5,0,30,4,0.0,2.0,2.0,1.0,0.11,0.0,56.0,17.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Hamstring injury,9-Dec-19,20-Dec-19
André Gomes,Midfielder,19,0.0,22.0,68%,0.0,0.0,7.0,6.0,4.0,0.0,122.0,83.0,137.0,25.0,17.0,12.0,1,851,44.79,1.0,12.0,25%,3.0,85.0,6,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,bruised ribs,2-Sep-19,4-Oct-19
André Gomes,Midfielder,19,0.0,22.0,68%,0.0,0.0,7.0,6.0,4.0,0.0,122.0,83.0,137.0,25.0,17.0,12.0,1,851,44.79,1.0,12.0,25%,3.0,85.0,6,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,ankle injury,4-Nov-19,21-Feb-20
Eric Bailly,Defender,4,1.0,0.0,0%,0.0,0.0,4.0,7.0,3.0,0.0,9.0,9.0,3.0,1.0,8.0,0.0,0,78,19.5,0.0,0.0,0%,0.0,4.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Knee surgery,25-Jul-19,10-Jan-20
Eric Bailly,Defender,4,1.0,0.0,0%,0.0,0.0,4.0,7.0,3.0,0.0,9.0,9.0,3.0,1.0,8.0,0.0,0,78,19.5,0.0,0.0,0%,0.0,4.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Neck injury,20-Jul-20,25-Jul-20
Phil Bardsley,Defender,21,9.0,49.0,73%,0.0,4.0,30.0,66.0,36.0,1.0,80.0,102.0,77.0,4.0,38.0,26.0,1,658,31.33,3.0,33.0,18%,3.0,49.0,6,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2019/20,knock,5-Dec-19,13-Dec-19
Phil Bardsley,Defender,21,9.0,49.0,73%,0.0,4.0,30.0,66.0,36.0,1.0,80.0,102.0,77.0,4.0,38.0,26.0,1,658,31.33,3.0,33.0,18%,3.0,49.0,6,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2019/20,back injury,20-Jan-20,1-Feb-20
Ashley Barnes,Forward,19,0.0,10.0,0,0.0,8.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,251,13.21,0.0,5.0,0,0.0,0.0,4,0,35,6,0.0,6.0,0.0,0.0,0.32,1.0,40.0,12.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019/20,groin injury,17-Oct-19,25-Oct-19
Ashley Barnes,Forward,19,0.0,10.0,0,0.0,8.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,251,13.21,0.0,5.0,0,0.0,0.0,4,0,35,6,0.0,6.0,0.0,0.0,0.32,1.0,40.0,12.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,groin injury,5-Dec-19,13-Dec-19
Ashley Barnes,Forward,19,0.0,10.0,0,0.0,8.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,251,13.21,0.0,5.0,0,0.0,0.0,4,0,35,6,0.0,6.0,0.0,0.0,0.32,1.0,40.0,12.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,groin surgery,2-Jan-20,29-Sep-20
Héctor Bellerín,Defender,15,3.0,20.0,65%,0.0,2.0,19.0,24.0,9.0,0.0,54.0,54.0,74.0,18.0,13.0,16.0,0,570,38.0,1.0,27.0,7%,0.0,14.0,2,0,15,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Hamstring injury,6-Dec-19,14-Jan-20
Bernard,Forward,27,0.0,32.0,0,0.0,5.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,540,20.0,3.0,36.0,0,0.0,0.0,2,0,19,3,0.0,3.0,0.0,1.0,0.11,0.0,12.0,5.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,ill,26-Sep-19,4-Oct-19
Bernard,Forward,27,0.0,32.0,0,0.0,5.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,540,20.0,3.0,36.0,0,0.0,0.0,2,0,19,3,0.0,3.0,0.0,1.0,0.11,0.0,12.0,5.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,knee injury,27-Oct-19,30-Nov-19
Bernard,Forward,27,0.0,32.0,0,0.0,5.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,540,20.0,3.0,36.0,0,0.0,0.0,2,0,19,3,0.0,3.0,0.0,1.0,0.11,0.0,12.0,5.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,knee injury,1-Jan-20,4-Jan-20
Dani Ceballos,Midfielder,24,0.0,45.0,51%,0.0,5.0,32.0,11.0,6.0,0.0,153.0,116.0,125.0,27.0,9.0,25.0,2,"1,251",52.13,1.0,70.0,13%,6.0,76.0,1,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Torn muscle bundle,7-Nov-19,31-Dec-19
Cédric Soares,Defender,21,3.0,53.0,60%,0.0,3.0,22.0,45.0,18.0,0.0,69.0,83.0,73.0,6.0,20.0,29.0,1,593,28.24,0.0,72.0,21%,1.0,29.0,1,0,16,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Broken Nose and Knee Injury,21-Jan-20,26-Jun-20
Calum Chambers,Defender,14,3.0,26.0,38%,0.0,4.0,16.0,41.0,25.0,0.0,69.0,77.0,69.0,11.0,37.0,31.0,1,796,56.86,4.0,34.0,12%,0.0,35.0,5,0,18,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Cruciate ligament tear,29-Dec-19,8-Nov-20
Séamus Coleman,Defender,27,5.0,42.0,74%,0.0,2.0,24.0,36.0,20.0,0.0,118.0,128.0,78.0,38.0,29.0,20.0,1,824,30.52,2.0,43.0,7%,0.0,33.0,3,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,hamstring injury,24-Nov-19,14-Dec-19
Séamus Coleman,Defender,27,5.0,42.0,74%,0.0,2.0,24.0,36.0,20.0,0.0,118.0,128.0,78.0,38.0,29.0,20.0,1,824,30.52,2.0,43.0,7%,0.0,33.0,3,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,hamstring strain,2-Mar-20,14-Jun-20
Jack Cork,Midfielder,30,0.0,35.0,69%,0.0,8.0,28.0,45.0,24.0,0.0,171.0,140.0,195.0,26.0,56.0,69.0,0,923,30.77,2.0,6.0,17%,2.0,48.0,1,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,shoulder injury,29-Sep-19,25-Oct-19
Fabian Delph,Midfielder,16,0.0,26.0,46%,0.0,3.0,15.0,16.0,9.0,0.0,94.0,69.0,51.0,21.0,15.0,9.0,0,781,48.81,0.0,8.0,63%,1.0,58.0,3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,calf injury,3-Aug-19,31-Aug-19
Fabian Delph,Midfielder,16,0.0,26.0,46%,0.0,3.0,15.0,16.0,9.0,0.0,94.0,69.0,51.0,21.0,15.0,9.0,0,781,48.81,0.0,8.0,63%,1.0,58.0,3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,muscle injury,6-Oct-19,24-Oct-19
Fabian Delph,Midfielder,16,0.0,26.0,46%,0.0,3.0,15.0,16.0,9.0,0.0,94.0,69.0,51.0,21.0,15.0,9.0,0,781,48.81,0.0,8.0,63%,1.0,58.0,3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,muscle injury,4-Nov-19,20-Dec-19
Fabian Delph,Midfielder,16,0.0,26.0,46%,0.0,3.0,15.0,16.0,9.0,0.0,94.0,69.0,51.0,21.0,15.0,9.0,0,781,48.81,0.0,8.0,63%,1.0,58.0,3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019/20,calf injury,2-Jun-20,23-Sep-20
Eric Dier,Midfielder,19,0.0,21.0,57%,0.0,0.0,21.0,61.0,37.0,0.0,59.0,95.0,75.0,4.0,66.0,42.0,2,914,48.11,0.0,3.0,0%,3.0,47.0,5,0,19,0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Hip injury,"Aug 30,2019","Sep 12,2019"
Lucas Digne,Defender,35,7.0,73.0,67%,0.0,15.0,42.0,93.0,47.0,0.0,182.0,237.0,167.0,23.0,114.0,53.0,7,"1,374",39.26,8.0,270.0,27%,2.0,64.0,6,0,43,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,calf injury,9-Feb-20,7-Mar-20
Paul Dummett,Defender,16,3.0,27.0,63%,0.0,0.0,23.0,61.0,31.0,0.0,54.0,62.0,44.0,1.0,28.0,32.0,0,449,28.06,0.0,15.0,13%,0.0,25.0,2,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Groin injury,22-Dec-19,10-Jan-20
Anwar El Ghazi,Midfielder,34,0.0,20.0,55%,0.0,11.0,13.0,12.0,6.0,0.0,75.0,97.0,151.0,29.0,31.0,57.0,4,479,14.09,4.0,107.0,24%,1.0,15.0,3,0,20,4,0.0,4.0,0.0,2.0,0.12,1.0,52.0,20.0,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Knee injury,2-Dec-19,7-Dec-19
Björn Engels,Defender,17,2.0,11.0,55%,0.0,0.0,28.0,85.0,42.0,0.0,53.0,71.0,39.0,1.0,55.0,27.0,0,647,38.06,0.0,2.0,50%,0.0,49.0,1,0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Groin injury,3-Nov-19,30-Nov-19
Gabriel Martinelli,Forward,14,0.0,20.0,75%,0.0,2.0,3.0,5.0,4.0,0.0,34.0,46.0,92.0,9.0,8.0,37.0,0,116,8.29,0.0,22.0,0%,1.0,2.0,1,0,9,3,0.0,3.0,0.0,0.0,0.21,0.0,12.0,5.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2019/20,Hamstring injury,23-Dec-19,6-Jan-20
Dwight Gayle,Forward,20,0.0,12.0,0,0.0,5.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145,7.25,2.0,3.0,0,0.0,0.0,2,0,6,4,0.0,3.0,1.0,1.0,0.2,0.0,23.0,10.0,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,Calf injury,8-Aug-19,5-Oct-19
Dwight Gayle,Forward,20,0.0,12.0,0,0.0,5.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145,7.25,2.0,3.0,0,0.0,0.0,2,0,6,4,0.0,3.0,1.0,1.0,0.2,0.0,23.0,10.0,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,Hamstring strain,2-Jan-20,10-Jan-20
Jean-Philippe Gbamin,Midfielder,2,0.0,4.0,75%,0.0,0.0,1.0,4.0,3.0,0.0,8.0,11.0,10.0,2.0,3.0,2.0,0,70,35.0,0.0,0.0,0%,0.0,2.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,"hamstring injury, archilles tendon rupture and inner ligament injury",18-Aug-19,30-Jun-21
