Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Richarlison,Forward,30,0.0,40.0,0,0.0,26.0,12.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,524,17.47,0.0,38.0,0,0.0,0.0,9,0,36,10,2.0,6.0,2.0,2.0,0.33,3.0,72.0,23.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2021/22,Calf injury,"Oct 15,2022","Nov 8,2022"
Alexander Isak,Forward,30,0.0,5.0,0,0.0,14.0,6.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,474,15.8,0.0,10.0,0,0.0,0.0,1,0,14,21,1.0,19.0,1.0,2.0,0.7,5.0,78.0,43.0,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2023/24,Groin injury,30-Jan-24,23-Feb-24
Jonjo Shelvey,Midfielder,26,0.0,29.0,66%,0.0,15.0,23.0,35.0,20.0,0.0,139.0,67.0,78.0,15.0,17.0,13.0,2,"1,044",40.15,7.0,89.0,25%,5.0,143.0,3,0,19,6,1.0,4.0,1.0,2.0,0.23,0.0,45.0,14.0,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Hamstring injury,22-Sep-19,5-Oct-19
Hjalmar Ekdal,Defender,8,0.0,4.0,50%,0.0,0.0,6.0,21.0,8.0,0.0,26.0,12.0,21.0,2.0,4.0,9.0,0,217,27.13,0.0,0.0,0%,0.0,6.0,2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2023/24,knee injury,30-Aug-23,18-Nov-23
Dominic Calvert-Lewin,Forward,17,0.0,4.0,0,0.0,6.0,3.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,215,12.65,0.0,6.0,0,0.0,0.0,3,0,22,2,0.0,2.0,0.0,1.0,0.12,1.0,31.0,10.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2022/23,hamstring injury,5-Nov-22,28-Dec-22
Fabian Delph,Midfielder,16,0.0,26.0,46%,0.0,3.0,15.0,16.0,9.0,0.0,94.0,69.0,51.0,21.0,15.0,9.0,0,781,48.81,0.0,8.0,63%,1.0,58.0,3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,muscle injury,6-Oct-19,24-Oct-19
Eric Bailly,Defender,4,0.0,5.0,80%,0.0,0.0,3.0,10.0,5.0,0.0,10.0,11.0,7.0,0.0,6.0,2.0,0,85,21.25,0.0,0.0,0%,0.0,3.0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2021/22,Ankle injury,3-Feb-22,16-Feb-22
Emerson Royal,Defender,31,5.0,72.0,65%,0.0,4.0,22.0,78.0,42.0,0.0,152.0,167.0,136.0,17.0,33.0,42.0,1,"1,136",36.65,0.0,74.0,24%,1.0,18.0,5,0,28,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2021/22,Unknown surgery,"Dec 3,2021","Dec 13,2021"
Nathan Redmond,Midfielder,12,0.0,2.0,50%,0.0,0.0,0.0,3.0,3.0,0.0,6.0,9.0,12.0,4.0,1.0,1.0,0,68,5.67,0.0,3.0,33%,0.0,3.0,1,0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2023/24,unknown injur,10-Sep-23,15-Oct-23
Eric Bailly,Defender,4,1.0,0.0,0%,0.0,0.0,4.0,7.0,3.0,0.0,9.0,9.0,3.0,1.0,8.0,0.0,0,78,19.5,0.0,0.0,0%,0.0,4.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Knee surgery,25-Jul-19,10-Jan-20
