Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Max Aarons,Defender,34,4,69,64,69%,1,6,28,71,32,2,154,163,151,34,14,50,1,0,2,"1,097",32.26,2,50,18%,5,36,8,0,27,1,0,0,0,0,0,,,,,,,,,,,,,,,
Tammy Abraham,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Adam Armstrong,Forward,23,,,10,,,16,3,6,6,,,,,,,,,,2,303,13.17,1,18,,,,1,0,13,2,2,0,1,1,0,0.09,0,0,47,14,30%,4,,,,,,,,
Ché Adams,Forward,30,,,13,,,10,8,16,10,,,,,,,,,,3,461,15.37,6,8,,,,0,0,29,7,7,2,5,0,1,0.23,0,0,49,24,49%,9,,,,,,,,
Tayo Adaramola,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Adrián,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Sergio Agüero,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Derek Agyakwa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ahmed El Mohamady,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Rayan Aït-Nouri,Defender,23,5,26,64,56%,0,2,22,30,18,0,128,143,115,42,17,13,0,0,2,754,32.78,3,96,25%,1,28,4,0,14,3,1,1,0,0,0,,,,,,,,,,,,,,,
Kristoffer Ajer,Defender,24,5,31,29,62%,0,5,26,71,32,1,109,107,63,13,49,31,0,0,3,723,30.13,4,17,18%,2,30,5,0,12,0,1,0,1,0,0,,,,,,,,,,,,,,,
Nathan Aké,Defender,14,5,3,16,56%,0,0,8,21,11,0,43,55,28,0,37,14,0,0,0,850,60.71,1,1,0%,1,14,0,0,9,0,2,1,0,1,1,,,,,,,,,,,,,,,
Marc Albrighton,Midfielder,17,,,31,61%,,1,14,14,5,,65,63,89,15,4,13,,0,2,427,25.12,2,78,21%,2,13,3,0,6,2,1,0,1,0,0,0.06,0,0,4,1,25%,1,,,,,,,,
Thiago Alcântara,Midfielder,25,,,48,60%,,14,26,12,8,,126,112,87,20,32,12,,0,4,"1,498",59.92,3,4,25%,4,99,2,0,19,0,1,0,0,1,0,0.04,0,0,25,6,24%,1,,,,,,,,
Toby Alderweireld,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ryan Alebiosu,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ajibola Alese,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alex Telles,Defender,21,4,26,48,56%,0,3,26,43,25,0,99,99,82,12,30,24,0,0,4,935,44.52,2,127,24%,2,23,1,0,23,1,0,0,0,0,2,,,,,,,,,,,,,,,
Trent Alexander-Arnold,Defender,32,17,22,40,57%,2,15,43,33,14,1,235,81,97,19,15,13,0,0,12,"2,155",67.34,18,273,30%,17,203,2,0,12,11,2,0,2,0,0,,,,,,,,,,,,,,,
Ezgjan Alioski,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alisson Becker,Goalkeeper,36,20,24,,,,,,,,,,,,,,,1,1,1,"1,177",32.69,,,,,152,0,0,0,,0,,,,,,,,,,,,76,0,19,22,3,30,211,172
Allan,Midfielder,28,,,74,59%,,3,23,36,15,,191,128,148,21,11,15,,1,2,958,34.21,0,10,30%,1,40,7,1,30,0,0,0,0,0,0,0.00,0,0,7,3,43%,0,,,,,,,,
Dele Alli,Midfielder,21,,,21,48%,,2,12,23,12,,64,72,105,17,16,19,,0,0,366,17.43,2,6,33%,4,10,4,0,21,4,1,0,1,0,0,0.05,1,0,7,3,43%,1,,,,,,,,
Miguel Almirón,Midfielder,30,,,47,62%,,15,20,10,2,,96,104,100,27,5,14,,0,0,485,16.17,1,22,18%,0,13,2,0,17,9,1,0,0,1,1,0.03,0,0,32,7,22%,0,,,,,,,,
Marcos Alonso,Defender,28,7,22,41,71%,0,19,43,50,28,0,139,124,117,15,40,29,0,0,4,"1,135",40.54,6,149,21%,2,42,8,0,25,3,4,0,0,4,0,,,,,,,,,,,,,,,
Jaime Alvarado,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Julián Álvarez,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
William Alves,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Steven Alzate,Midfielder,9,,,10,40%,,0,10,8,4,,39,24,22,6,4,8,,0,0,232,25.78,0,0,0%,1,12,0,0,6,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
Daniel Amartey,Defender,28,5,40,26,50%,1,0,21,91,51,1,145,73,63,6,33,37,0,0,0,"1,535",54.82,0,0,0%,0,51,4,0,14,1,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan Ampadu,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Joseph Anang,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Joachim Andersen,Defender,34,11,37,30,77%,0,1,37,123,60,0,152,101,88,7,56,48,1,1,3,"2,334",68.65,2,8,25%,3,253,4,0,19,1,0,0,0,0,0,,,,,,,,,,,,,,,
Joe Anderson,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Florin Andone,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
André Gomes,Midfielder,14,,,16,25%,,7,1,7,2,,53,44,79,12,8,9,,0,1,276,19.71,0,6,83%,0,13,3,0,24,0,0,0,0,0,0,0.00,0,0,14,4,29%,1,,,,,,,,
Andreas Pereira,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Vincent Angelini,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Angeliño,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tino Anjorin,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michail Antonio,Forward,36,,,23,,,24,3,14,9,,,,,,,,,,8,615,17.08,7,63,,,,6,1,50,13,10,1,6,3,1,0.28,0,0,83,29,35%,10,,,,,,,,
