Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Sofyan Amrabat,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joseph Anang,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Joachim Andersen,Defender,32,1,,1,0,0,,,,,,0,,0,"1,940",60.63,2,10,10%,4,200,8,0,27,2,42,52%,2,24,187,110,180,150,84,5,87,34,1,,,,,,,,,8,37,2,0,1
Elliot Anderson,Midfielder,22,0,0.00,0,0,0,0,0,11,4,36%,1,1,1,185,8.41,2,9,44%,1,4,0,0,6,1,11,45%,4,6,1,0,29,42,40,10,11,5,0,,,,,,,,,,,,,
André Gomes,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andreas Pereira,Midfielder,33,4,0.12,0,3,1,1,0,62,23,37%,4,4,6,855,25.91,7,196,34%,1,52,8,0,41,2,18,50%,14,6,8,2,117,75,171,17,9,29,0,,,,,,,,,,,,,
Andrey Santos,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vincent Angelini,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Ângelo,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tino Anjorin,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Adler Nascimento,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Adrián,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Daniel Adu-Adjei,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Nayef Aguerd,Defender,18,2,,2,0,0,,,,,,0,,0,759,42.17,1,0,0%,0,65,4,0,8,2,27,67%,3,18,78,37,105,71,53,4,32,31,1,,,,,,,,,5,28,0,1,1
Brandon Aguilera,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Naouirou Ahamada,Midfielder,8,0,0.00,0,0,0,0,0,3,0,0%,0,0,0,44,5.50,0,2,0%,0,1,1,0,2,2,3,67%,0,0,0,0,8,4,7,1,0,1,0,,,,,,,,,,,,,
Rayan Aït-Nouri,Defender,21,1,,0,0,1,,,,,,0,,0,474,22.57,1,21,29%,0,7,4,0,15,3,33,61%,2,9,24,11,61,86,67,28,14,17,0,,,,,,,,,2,18,1,0,0
Kristoffer Ajer,Defender,9,0,,0,0,0,,,,,,0,,0,294,32.67,0,6,17%,0,18,0,0,5,0,11,73%,0,7,17,7,36,37,35,3,15,11,0,,,,,,,,,2,14,0,1,0
Manuel Akanji,Defender,29,0,,0,0,0,,,,,,0,,1,"2,021",69.69,0,6,17%,0,67,2,0,24,0,36,69%,5,16,30,14,136,77,77,6,24,34,1,,,,,,,,,6,23,0,0,1
Nathan Aké,Defender,26,1,,1,0,0,,,,,,2,,0,"1,705",65.58,2,15,7%,1,34,2,0,12,1,26,46%,2,20,47,33,96,79,39,3,36,23,0,,,,,,,,,6,15,0,0,0
Victor Akinwale,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Marc Albrighton,Midfielder,6,1,0.17,0,1,0,0,0,2,1,50%,0,0,0,112,18.67,1,28,21%,1,2,0,0,2,1,4,25%,0,1,4,1,13,9,12,2,1,1,0,,,,,,,,,,,,,
Thiago Alcântara,Midfielder,18,0,0.00,0,0,0,0,0,10,1,10%,0,0,0,"1,085",60.28,1,3,33%,8,93,2,0,18,0,43,56%,7,21,12,7,111,103,77,21,14,24,0,,,,,,,,,,,,,
Carlos Alcaraz,Midfielder,18,4,0.22,0,4,0,0,0,24,10,42%,1,1,2,283,15.72,1,4,0%,2,6,3,0,16,2,10,50%,6,1,11,7,53,47,92,13,7,28,0,,,,,,,,,,,,,
Ryan Alebiosu,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Ajibola Alese,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Alex Telles,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Trent Alexander-Arnold,Defender,37,2,,0,2,0,,,,,,1,,9,"2,309",62.41,25,252,31%,26,194,5,0,22,5,57,70%,15,43,36,20,239,113,106,30,20,13,0,,,,,,,,,7,44,0,0,1
Alisson Becker,Goalkeeper,37,0,,,,,,,,,,,,1,"1,239",33.49,,,,,165,1,0,1,,,,,,,,,,,,,,0,108,1,17,22,9,33,210,193,14,43,0,,
Allan,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Charlie Allen,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Max Alleyne,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Dele Alli,Midfielder,2,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,15,7.50,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,2,4,0,1,2,0,,,,,,,,,,,,,
Miguel Almirón,Midfielder,34,11,0.32,0,1,10,0,0,69,21,30%,3,6,2,932,27.41,3,26,19%,3,13,2,0,22,9,46,65%,25,10,13,6,139,119,116,34,6,10,0,,,,,,,,,,,,,
