Name,Team Name,Position,Age,Season,Injury,Date of Injury,Date of return
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,Knee injury,9-Nov-19,13-Jan-20
Fabian Schär,Newcastle,Center Back,28,2019/20,Knee injury,20-Oct-19,24-Nov-19
Fabian Schär,Newcastle,Center Back,28,2019/20,Hamstring strain,2-Jan-20,17-Jan-20
Fabian Schär,Newcastle,Center Back,28,2019/20,Shoulder injury,16-Jul-20,28-Sep-20
Paul Dummett,Newcastle,Center Back,28,2019/20,Groin injury,22-Dec-19,10-Jan-20
Ciaran Clark,Newcastle,Center Back,30,2019/20,Calf injury,9-Dec-19,10-Jan-20
Ciaran Clark,Newcastle,Center Back,30,2019/20,Ankle injury,16-Feb-20,14-Sep-20
Jetro Willems,Newcastle,Left Back,26,2019/20,Knee injury,22-Sep-19,5-Oct-19
Jetro Willems,Newcastle,Left Back,26,2019/20,Knee injury,15-Dec-19,25-Dec-19
Jetro Willems,Newcastle,Left Back,26,2019/20,Cruciate ligament tear,18-Jan-20,20-Sep-20
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Groin problems,28-Apr-19,28-Sep-19
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Hip injury,27-Nov-19,10-Dec-19
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Hand injury,5-Jan-20,23-Jan-20
Emil Krafth,Newcastle,Right Back,25,2019/20,Ankle injury,21-Jan-20,20-Jun-20
Emil Krafth,Newcastle,Right Back,25,2019/20,Ankle injury,21-Jul-20,11-Sep-20
Javier Manquillo,Newcastle,Right Back,26,2019/20,Hamstring strain,2-Jan-20,28-Feb-20
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,Hamstring strain,5-Jul-20,25-Jul-20
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,Ankle injury,1-Sep-19,28-Sep-19
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,Hamstring injury,1-Jul-20,25-Jul-20
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Hamstring injury,22-Sep-19,5-Oct-19
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Calf injury,9-Dec-19,20-Dec-19
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Hamstring strain,18-Jan-20,28-Feb-20
